Close Date,Corn ZCH18,Soybeans ZSH18,Ethanol ZKH18,"Bismarck, ND HI-Temp","Mpls, MN HI-Temp","Madison, WI HI-Temp"
12/7/2017,3.515,10.0425,1.36,35,21,25
12/8/2017,3.5275,10.015,1.374,40,32,34
12/11/2017,3.49,9.94,1.362,46,35,32
12/12/2017,3.4775,9.8725,1.355,53,27,21
12/13/2017,3.49,9.905,1.356,46,30,33
12/14/2017,3.485,9.7875,1.337,36,24,26
12/15/2017,3.475,9.78,1.325,45,30,31
12/18/2017,3.47,9.725,1.332,48,42,40
12/19/2017,3.475,9.6675,1.328,36,38,46
12/20/2017,3.4925,9.645,1.34,28,24,28
12/21/2017,3.5125,9.59,1.35,16,24,35
12/22/2017,3.52,9.6025,1.359,23,27,33
12/26/2017,3.5275,9.705,1.349,-1,1,4
12/27/2017,3.5375,9.675,1.351,9,5,5
12/28/2017,3.52,9.5675,1.366,9,11,9
12/29/2017,3.5075,9.6175,1.382,3,4,13
1/2/2018,3.5325,9.6475,1.393,24,1,10
1/3/2018,4.66,12.675,2.235,13,11,12
1/4/2018,4.6675,12.625,2.13,15,2,9
1/5/2018,3.5125,9.7075,1.349,13,3,8
1/8/2018,4.7875,12.67,2.14,36,37,42
1/9/2018,3.49,9.6375,1.357,39,42,40
1/10/2018,3.49,9.55,1.324,32,38,50
1/11/2018,3.4875,9.405,1.375,3,37,51
1/12/2018,3.4625,9.44,1.357,-3,3,19
1/15/2018,3.4625,9.605,1.357,-3,14,22
1/16/2018,3.4825,9.68,1.383,12,8,21
1/17/2018,3.53,9.6875,1.384,40,27,21
1/18/2018,3.515,9.73,1.367,40,41,32
1/19/2018,3.525,9.7725,1.357,45,44,39
1/22/2018,3.52,9.8425,1.354,24,35,38
1/23/2018,3.5125,9.8625,1.352,34,28,31
1/24/2018,3.565,9.9225,1.378,33,27,28
1/25/2018,3.5525,9.9225,1.358,37,28,35
1/26/2018,3.565,9.855,1.38,37,47,46
1/29/2018,3.5875,9.915,1.393,22,17,23
1/30/2018,3.615,10.0025,1.39,49,30,29
1/31/2018,3.615,9.9575,1.402,31,32,42
2/1/2018,3.6175,9.85,1.434,9,7,33
2/2/2018,3.615,9.7875,1.443,23,12,18
2/5/2018,3.5875,9.6975,1.431,6,14,10
2/6/2018,3.635,9.8625,1.423,16,10,13
2/7/2018,3.6525,9.83,1.408,12,15,14
2/8/2018,3.6575,9.875,1.415,7,17,18
2/9/2018,3.62,9.83,1.403,5,11,17
2/12/2018,3.67,10.0175,1.417,8,13,17
2/13/2018,3.6675,10.1175,1.416,29,30,30
2/16/2018,3.675,10.215,1.484,30,20,33
2/21/2018,3.6575,10.3425,1.477,17,20,27
2/22/2018,3.6625,10.3625,1.471,19,30,34
2/26/2018,3.685,10.3425,1.476,42,44,48
2/27/2018,3.705,10.38,1.479,35,47,57
2/28/2018,3.745,10.45,1.469,40,45,47
3/1/2018,3.7875,10.575,1.47,40,41,45
3/2/2018,3.7725,10.6075,1.458,39,40,45
3/5/2018,3.7825,10.6675,1.458,35,38,35
3/6/2018,3.7975,10.645,1.498,24,34,34
3/7/2018,3.7925,10.55,1.515,23,29,27
3/8/2018,3.8575,10.5375,1.512,28,31,31
3/9/2018,3.83,10.2925,1.51,27,35,35
3/13/2018,3.855,10.405,1.522,43,37,34
3/14/2018,3.835,10.285,1.527,37,46,47
3/15/2018,3.8675,10.4075,1.514,34,39,46
3/16/2018,3.8275,10.495,1.493,34,41,38
3/19/2018,3.75,10.225,1.463,32,45,48
3/20/2018,3.745,10.2825,1.462,38,33,37
3/21/2018,3.75,10.2975,1.471,40,38,41
3/22/2018,3.75,10.2975,1.481,36,43,48
3/23/2018,3.7725,10.2825,1.451,35,43,45
3/26/2018,3.74,10.255,1.43,36,40,49
